time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-02-01 09:30:00-05:00,MLTrader,baa5241876884e1e91dfe5d741f13e02,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2022-02-01 09:30:00-05:00,MLTrader,baa5241876884e1e91dfe5d741f13e02,AAPL,sell,market,fill,1,gtc,0.0,1,stock,174.00999450683594,287.0,0.0
2022-04-06 09:30:00-04:00,MLTrader,097c547207ca4ef2bb0733bd4d94a4b6,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-04-06 09:30:00-04:00,MLTrader,ac08b35adb31456d8241be2ebae600a5,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-04-06 09:30:00-04:00,MLTrader,f7aaa78753574f94bc9bf17c9a5324d8,AAPL,buy,market,new,1,day,0.0,1,stock,,,
2022-04-06 09:30:00-04:00,MLTrader,7a1aecc0e54f41f5801ac9ed01f15400,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2022-04-06 09:30:00-04:00,MLTrader,f7aaa78753574f94bc9bf17c9a5324d8,AAPL,buy,market,fill,1,day,0.0,1,stock,171.16000366210938,287.0,0.0
2022-04-06 09:30:00-04:00,MLTrader,7a1aecc0e54f41f5801ac9ed01f15400,AAPL,buy,market,fill,1,gtc,0.0,1,stock,171.16000366210938,438.0,0.0
2022-04-21 09:30:00-04:00,MLTrader,3209d0fe4d2045a6ba759675acbdc5dd,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-04-21 09:30:00-04:00,MLTrader,a1e21039fec74eeb92d6cefd94c0ac70,AAPL,sell,stop,fill,1,day,0.0,1,stock,162.6020034790039,438.0,0.0
2022-05-04 09:30:00-04:00,MLTrader,498b994005d8475ea2a304e860e83589,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2022-05-04 09:30:00-04:00,MLTrader,498b994005d8475ea2a304e860e83589,AAPL,sell,market,fill,1,gtc,0.0,1,stock,163.85000610351562,296.0,0.0
2022-06-15 09:30:00-04:00,MLTrader,3089c464c5e34450b003e11bab098376,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-06-15 09:30:00-04:00,MLTrader,18a3855a7a1948f19b229954463a07ed,AAPL,buy,limit,fill,1,day,0.0,1,stock,131.08000488281252,296.0,0.0
2022-07-21 09:30:00-04:00,MLTrader,078198f17f304477bb2e0b7769b8e3b4,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-21 09:30:00-04:00,MLTrader,078198f17f304477bb2e0b7769b8e3b4,AAPL,buy,market,fill,1,gtc,0.0,1,stock,155.38999938964844,343.0,0.0
2022-09-20 09:30:00-04:00,MLTrader,5cf2f1b83089454b90c6855fb2f6959d,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2022-09-20 09:30:00-04:00,MLTrader,ec37f250126a43af809038d7d2d53af8,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-20 09:30:00-04:00,MLTrader,736b20b1037f4c089c7607c38b70e30d,AAPL,sell,market,new,1,day,0.0,1,stock,,,
2022-09-20 09:30:00-04:00,MLTrader,6b61dd3fe11b4190b8d661de33c6f079,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-20 09:30:00-04:00,MLTrader,736b20b1037f4c089c7607c38b70e30d,AAPL,sell,market,fill,1,day,0.0,1,stock,157.33999633789062,343.0,0.0
2022-09-20 09:30:00-04:00,MLTrader,6b61dd3fe11b4190b8d661de33c6f079,AAPL,sell,market,fill,1,gtc,0.0,1,stock,157.33999633789062,170.0,0.0
2022-11-25 09:30:00-05:00,MLTrader,4697ee18a2c54d709e90678fb267db77,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-11-25 09:30:00-05:00,MLTrader,0b42a0d20b1642e7bb1925a9eada06b4,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-11-25 09:30:00-05:00,MLTrader,a598c23b036b40148c05a339953621b8,AAPL,buy,market,new,1,day,0.0,1,stock,,,
2022-11-25 09:30:00-05:00,MLTrader,35e2d6546fa44201be77904f9cd8b886,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2022-11-25 09:30:00-05:00,MLTrader,a598c23b036b40148c05a339953621b8,AAPL,buy,market,fill,1,day,0.0,1,stock,148.30999755859375,170.0,0.0
2022-11-25 09:30:00-05:00,MLTrader,35e2d6546fa44201be77904f9cd8b886,AAPL,buy,market,fill,1,gtc,0.0,1,stock,148.30999755859375,452.0,0.0
2022-11-29 09:30:00-05:00,MLTrader,0a7e46fd5c584bf2a3c75c0b093b6c2a,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2022-11-29 09:30:00-05:00,MLTrader,9a89df5248b94e7fa5767920e9a70075,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-11-29 09:30:00-05:00,MLTrader,a16748a7c8e54a4ebfb077c71c99db28,AAPL,sell,market,new,1,day,0.0,1,stock,,,
2022-11-29 09:30:00-05:00,MLTrader,4758bf9baff94bb0b799b9786bfd9142,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2022-11-29 09:30:00-05:00,MLTrader,a16748a7c8e54a4ebfb077c71c99db28,AAPL,sell,market,fill,1,day,0.0,1,stock,144.2899932861328,452.0,0.0
2022-11-29 09:30:00-05:00,MLTrader,4758bf9baff94bb0b799b9786bfd9142,AAPL,sell,market,fill,1,gtc,0.0,1,stock,144.2899932861328,145.0,0.0
2022-12-05 09:30:00-05:00,MLTrader,ef5276ce5b0c40b6854777db070a5340,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-12-05 09:30:00-05:00,MLTrader,5f9a3f8df65c41ef821a61f98197065c,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-12-05 09:30:00-05:00,MLTrader,a2dbea9dc2734782a2944e2968a221ea,AAPL,buy,market,new,1,day,0.0,1,stock,,,
2022-12-05 09:30:00-05:00,MLTrader,b36ed27fafea4b9ab187d512404eb572,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2022-12-05 09:30:00-05:00,MLTrader,a2dbea9dc2734782a2944e2968a221ea,AAPL,buy,market,fill,1,day,0.0,1,stock,147.77000427246094,145.0,0.0
2022-12-05 09:30:00-05:00,MLTrader,b36ed27fafea4b9ab187d512404eb572,AAPL,buy,market,fill,1,gtc,0.0,1,stock,147.77000427246094,433.0,0.0
2022-12-07 09:30:00-05:00,MLTrader,3073879bb426429c8828270cf862f77e,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-12-07 09:30:00-05:00,MLTrader,0384c16826ff4f6f9ab0414117477391,AAPL,sell,stop,fill,1,day,0.0,1,stock,140.3815040588379,433.0,0.0
2022-12-20 09:30:00-05:00,MLTrader,a6db7bf60543485a9b5e009e76af5ae8,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2022-12-20 09:30:00-05:00,MLTrader,a6db7bf60543485a9b5e009e76af5ae8,AAPL,sell,market,fill,1,gtc,0.0,1,stock,131.38999938964844,393.0,0.0
